Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
17	:	1749588646.315	 27038.375	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_17 'manhattan_100_8_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
15	:	1749588645.317	 27126.586	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_15 'manhattan_100_4_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
18	:	1749588646.817	 27454.157	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_18 'manhattan_100_8_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
26	:	1749588650.860	 28174.476	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_26 'manhattan_100_11_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
28	:	1749588651.871	 28322.828	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_28 'manhattan_100_11_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
19	:	1749588647.326	 28675.077	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_19 'manhattan_100_8_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
20	:	1749588647.828	 29547.976	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_20 'manhattan_100_8_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
32	:	1749588653.879	 29941.673	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_32 'manhattan_100_12_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
21	:	1749588648.337	 30175.268	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_21 'manhattan_100_10_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
22	:	1749588648.839	 30428.690	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_22 'manhattan_100_10_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
